"","Munic.","Razão Social","Emissão","Número","TipoDoc.","Chave de Acesso","Valor","Data Emissão","Tipo Operação","Situação Docto"
"","Marau","Valente Supermercado Ltda","10/02/25","342796","Nota Fiscal de Consumidor Eletrônica","4325020749231800018665 0020003427961375106491","R$27,50","10/02/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","03/02/25","337706","Nota Fiscal de Consumidor Eletrônica","4325020749231800018665 0030003377061471021149","R$53,24","03/02/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","01/02/25","369150","Nota Fiscal de Consumidor Eletrônica","4325020749231800018665 0040003691501810350419","R$31,04","01/02/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","25/01/25","340750","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0020003407501691058858","R$158,45","25/01/25","Aquisição","Normal"
"","Marau","Com De Medic Brair Ltda","20/01/25","2541","Nota Fiscal de Consumidor Eletrônica","4325018821211310961665 0140000025411064592222","R$109,57","20/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","20/01/25","349788","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0050003497881110561064","R$24,62","20/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","18/01/25","336176","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0030003361761499102767","R$117,00","18/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","17/01/25","339755","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0020003397551382410097","R$71,42","17/01/25","Aquisição","Normal"
"","Marau","Longo & Gallo Ltda","16/01/25","252727","Nota Fiscal de Consumidor Eletrônica","4325019094119600045465 0030002527271035517780","R$54,83","16/01/25","Aquisição","Normal"
"","Marau","Marodin E Tomedi Ltda Me","14/01/25","111360","Nota Fiscal de Consumidor Eletrônica","4325011967296500015965 0010001113601001174326","R$46,90","14/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","14/01/25","348499","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0050003484991010878824","R$35,82","14/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","11/01/25","339166","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0020003391661104720706","R$25,34","11/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","09/01/25","338830","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0020003388301792921042","R$24,37","09/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","06/01/25","363871","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0040003638711625545125","R$9,44","06/01/25","Aquisição","Normal"
"","Marau","Valente Supermercado Ltda","02/01/25","338396","Nota Fiscal de Consumidor Eletrônica","4325010749231800018665 0020003383961734597801","R$20,18","02/01/25","Aquisição","Normal"
